Lightbulb24: 0xf4e1
LightbulbCircle24: 0xf4e2
LightbulbFilament16: 0xf4e3
LightbulbFilament20: 0xf4e4
LightbulbFilament24: 0xf4e5
Likert20: 0xf4e8
Likert16: 0xf4e7
Likert24: 0xf4e9
LineHorizontal120: 0xf4ea
LineHorizontal320: 0xf4eb
LineHorizontal520: 0xf4ec
Link16: 0xf4ed
Link20: 0xf4ee
Link24: 0xf4ef
Link28: 0xf4f0
Link48: 0xf4f1
LinkEdit16: 0xf4f2
LinkEdit20: 0xf4f3
LinkEdit24: 0xf4f4
LinkSquare24: 0xf4f6
List20: 0xf4f7
List24: 0xf4f8
List28: 0xf4f9
Live20: 0xf4fa
Live24: 0xf4fb
LocalLanguage16: 0xf4fc
LocalLanguage20: 0xf4fd
LocalLanguage24: 0xf4fe
LocalLanguage28: 0xf4ff
Location12: 0xf500
Location16: 0xf501
Location20: 0xf502
Location24: 0xf503
Location28: 0xf504
LocationLive20: 0xf505
LocationLive24: 0xf506
LockShield20: 0xf50c
LockShield24: 0xf50d
LockShield48: 0xf50e
Mail20: 0xf510
Mail24: 0xf511
Mail28: 0xf512
Mail48: 0xf513
MailAdd24: 0xf514
MailAll20: 0xf515
MailAll24: 0xf516
MailAllRead20: 0xf518
MailAllUnread20: 0xf519
Javascript16: 0xf4bd
MailInbox16: 0xf51d
MailCopy20: 0xf51b
MailInbox20: 0xf51e
MailCopy24: 0xf51c
MailInbox24: 0xf51f
MailInbox28: 0xf520
MailInboxAdd16: 0xf521
MailInboxAdd20: 0xf522
MailInboxAdd24: 0xf523
MailInboxAdd28: 0xf524
MailInboxDismiss16: 0xf525
MailInboxDismiss20: 0xf526
MailInboxDismiss24: 0xf527
MailInboxDismiss28: 0xf528
MailRead20: 0xf52b
MailRead24: 0xf52c
MailRead28: 0xf52d
MailRead48: 0xf52e
MailUnread16: 0xf52f
MailUnread20: 0xf530
MailUnread24: 0xf531
MailUnread28: 0xf532
MailUnread48: 0xf533
Map24: 0xf538
MapDrive16: 0xf539
MapDrive20: 0xf53a
MapDrive24: 0xf53b
MatchAppLayout24: 0xf53c
Maximize16: 0xf53d
MeetNow20: 0xf53e
MeetNow24: 0xf53f
Megaphone16: 0xf540
Megaphone20: 0xf541
Megaphone24: 0xf542
Megaphone28: 0xf543
MegaphoneOff24: 0xf544
Mention16: 0xf545
Mention20: 0xf546
Mention24: 0xf547
Merge24: 0xf548
MicOff12: 0xf549
MicOff16: 0xf54a
MicOff28: 0xf54c
MicOff24: 0xf54b
MicOn16: 0xf54d
MicOn20: 0xf54e
MicOn24: 0xf54f
MicOn28: 0xf550
MicOn48: 0xf551
MicSettings24: 0xf552
Midi20: 0xf553
Midi24: 0xf554
Money16: 0xf558
Money20: 0xf559
Money24: 0xf55a
